                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    151,                 1.4313,                 1.0544,                 1.3681,                      1,                0.54834,                0.62705,                0.38654,                 1.5427,                 1.0546,                  1.499,                0.00101,                0.00101,                0.00101
                    152,                 1.4601,                 1.1199,                 1.5654,                0.99183,                0.57143,                  0.698,                0.39046,                 1.4945,                0.96277,                 1.4758,              0.0010034,              0.0010034,              0.0010034
                    153,                 1.3859,                 1.0664,                 1.4711,                0.76671,                0.71429,                0.69355,                0.33948,                 1.6193,                0.96799,                 1.5228,              0.0009968,              0.0009968,              0.0009968
                    154,                 1.3641,                0.99674,                 1.3866,                0.89993,                0.64286,                0.69197,                0.33182,                 1.6987,                0.96651,                 1.5333,              0.0009902,              0.0009902,              0.0009902
                    155,                 1.5141,                 1.0528,                 1.4766,                0.97164,                0.64286,                0.69881,                0.36201,                  1.535,                0.88727,                 1.4663,              0.0009836,              0.0009836,              0.0009836
                    156,                 1.4174,                 1.0363,                 1.5422,                0.85675,                0.64286,                0.65831,                0.38268,                 1.4706,                0.88679,                 1.4541,               0.000977,               0.000977,               0.000977
                    157,                 1.3942,                 1.0376,                 1.4426,                0.87947,                0.64286,                0.65766,                0.34136,                 1.7048,                 1.0247,                 1.5526,              0.0009704,              0.0009704,              0.0009704
                    158,                  1.442,                 1.0313,                 1.4094,                0.96527,                0.64286,                 0.7004,                0.33511,                 1.7867,                 1.0478,                 1.6124,              0.0009638,              0.0009638,              0.0009638
                    159,                 1.4409,                 1.0452,                 1.4606,                0.91592,                0.57143,                0.66817,                0.36201,                 1.6579,                 1.0083,                 1.5535,              0.0009572,              0.0009572,              0.0009572
                    160,                 1.4631,                 1.0212,                 1.4603,                0.89323,                0.59935,                0.68348,                0.36733,                 1.5587,                0.95699,                 1.5072,              0.0009506,              0.0009506,              0.0009506
                    161,                 1.4968,                 1.0429,                 1.3679,                0.79797,                0.64286,                0.64374,                0.33225,                 1.5836,                0.89664,                 1.5103,               0.000944,               0.000944,               0.000944
                    162,                 1.4583,                0.98856,                 1.5049,                0.86892,                0.64286,                0.66979,                0.33736,                 1.6511,                0.88052,                 1.5256,              0.0009374,              0.0009374,              0.0009374
                    163,                 1.4584,                 0.9991,                  1.474,                0.83271,                0.71136,                0.69438,                0.33602,                 1.7668,                0.84205,                 1.6522,              0.0009308,              0.0009308,              0.0009308
                    164,                 1.4036,                 1.0037,                 1.4516,                0.87072,                0.64286,                0.69042,                0.33971,                 1.6916,                0.82419,                 1.6439,              0.0009242,              0.0009242,              0.0009242
                    165,                 1.3831,                0.97502,                 1.3606,                0.90742,                0.70115,                0.71624,                0.33207,                 1.7752,                 0.8505,                 1.6077,              0.0009176,              0.0009176,              0.0009176
                    166,                 1.4313,                0.99869,                  1.488,                0.90797,                0.70549,                0.71608,                0.33219,                 1.7738,                0.87195,                 1.6308,               0.000911,               0.000911,               0.000911
                    167,                 1.4611,                  1.004,                 1.5599,                      1,                0.70046,                0.72183,                0.32865,                 1.7716,                0.93095,                  1.602,              0.0009044,              0.0009044,              0.0009044
                    168,                 1.4978,                 1.0352,                 1.4756,                0.97384,                0.64286,                0.71402,                 0.3302,                   1.82,                 1.0087,                 1.6143,              0.0008978,              0.0008978,              0.0008978
                    169,                 1.5825,                 1.2116,                 1.5881,                0.90855,                0.71429,                0.71377,                0.33812,                 1.7788,                 1.0678,                 1.6015,              0.0008912,              0.0008912,              0.0008912
                    170,                 1.3743,                0.97563,                 1.3973,                0.90225,                0.71429,                 0.6999,                0.32479,                 1.7639,                0.99791,                 1.6036,              0.0008846,              0.0008846,              0.0008846
                    171,                 1.3899,                0.98723,                  1.391,                0.83285,                0.71199,                0.66402,                0.34798,                 1.7536,                 1.0084,                 1.6581,               0.000878,               0.000878,               0.000878
                    172,                 1.4403,                0.98471,                 1.4748,                0.83062,                0.70148,                0.66306,                0.33983,                  1.675,                 1.0174,                 1.5705,              0.0008714,              0.0008714,              0.0008714
                    173,                 1.4775,                 1.0466,                 1.4362,                0.78611,                0.64286,                0.65744,                0.32331,                 1.6881,                0.98883,                 1.5566,              0.0008648,              0.0008648,              0.0008648
                    174,                 1.4181,                 1.0016,                 1.3666,                0.79378,                0.64286,                0.65444,                0.36107,                 1.6443,                0.97707,                 1.5555,              0.0008582,              0.0008582,              0.0008582
                    175,                  1.265,                0.95677,                 1.3657,                0.87152,                0.64286,                0.65298,                0.37372,                 1.5435,                0.90627,                 1.5212,              0.0008516,              0.0008516,              0.0008516
                    176,                 1.2982,                0.95533,                 1.3781,                0.84613,                0.64286,                0.65368,                0.37182,                 1.5607,                0.91439,                 1.5301,               0.000845,               0.000845,               0.000845
                    177,                 1.3502,                 0.9591,                 1.3958,                0.98028,                0.64286,                 0.6836,                0.35915,                  1.656,                0.89327,                 1.5795,              0.0008384,              0.0008384,              0.0008384
                    178,                  1.364,                0.97535,                  1.411,                0.91761,                0.64286,                0.64804,                0.35741,                 1.7023,                0.94151,                 1.6271,              0.0008318,              0.0008318,              0.0008318
                    179,                 1.3805,                0.95004,                 1.4233,                 0.9811,                0.64286,                0.68101,                 0.3526,                 1.8671,                0.90268,                 1.7021,              0.0008252,              0.0008252,              0.0008252
                    180,                 1.3536,                0.96596,                 1.4695,                0.98826,                0.64286,                0.66014,                0.34151,                 1.9718,                0.88623,                 1.7347,              0.0008186,              0.0008186,              0.0008186
                    181,                 1.5112,                0.98552,                 1.4312,                0.90775,                0.71429,                0.72113,                0.37567,                 1.8602,                0.88332,                 1.6732,               0.000812,               0.000812,               0.000812
                    182,                 1.4114,                0.91084,                 1.3437,                0.89614,                0.61805,                0.67276,                0.39819,                 1.7418,                 0.8901,                 1.6052,              0.0008054,              0.0008054,              0.0008054
                    183,                  1.489,                0.91281,                 1.5155,                0.97087,                0.71429,                0.72034,                0.42177,                 1.6344,                0.90618,                 1.5206,              0.0007988,              0.0007988,              0.0007988
                    184,                 1.3869,                0.94376,                 1.3742,                0.98203,                0.71429,                0.77836,                0.41605,                 1.6091,                0.90553,                 1.5209,              0.0007922,              0.0007922,              0.0007922
                    185,                 1.3777,                0.92822,                 1.3795,                      1,                0.70696,                0.76848,                0.36834,                  1.707,                 0.8707,                 1.5373,              0.0007856,              0.0007856,              0.0007856
                    186,                 1.4048,                0.95566,                 1.4425,                      1,                0.69565,                0.77207,                0.34008,                 1.7385,                0.88583,                 1.5433,               0.000779,               0.000779,               0.000779
                    187,                 1.3998,                0.92217,                 1.3505,                 0.9798,                0.64286,                0.75225,                0.36201,                 1.6355,                0.85442,                 1.5454,              0.0007724,              0.0007724,              0.0007724
                    188,                 1.4137,                 1.0458,                 1.3827,                0.97864,                0.64286,                0.68262,                0.37983,                 1.5847,                0.86289,                 1.5531,              0.0007658,              0.0007658,              0.0007658
                    189,                 1.2857,                0.91645,                 1.3997,                0.97558,                0.64286,                0.68025,                 0.3798,                  1.667,                0.85377,                 1.5665,              0.0007592,              0.0007592,              0.0007592
                    190,                 1.3734,                0.91197,                 1.4477,                0.89904,                0.71429,                0.71386,                0.36953,                 1.6483,                0.87483,                 1.5494,              0.0007526,              0.0007526,              0.0007526
                    191,                 1.3447,                0.91104,                 1.3913,                0.90901,                0.71365,                0.71474,                0.35637,                 1.7804,                0.91417,                 1.6054,               0.000746,               0.000746,               0.000746
                    192,                 1.3183,                0.92693,                 1.3966,                0.94082,                0.64286,                0.67482,                0.35154,                 1.7481,                0.92413,                 1.6102,              0.0007394,              0.0007394,              0.0007394
                    193,                 1.4641,                0.95656,                 1.5706,                0.90733,                0.70045,                 0.7121,                0.37777,                 1.6572,                0.92389,                 1.6004,              0.0007328,              0.0007328,              0.0007328
                    194,                 1.3152,                0.91091,                 1.3931,                0.83188,                0.71429,                0.73911,                0.35444,                 1.6186,                0.94027,                 1.5416,              0.0007262,              0.0007262,              0.0007262
                    195,                 1.3186,                0.88585,                 1.3483,                 0.8159,                0.71429,                0.74038,                0.34133,                 1.6798,                0.97885,                  1.541,              0.0007196,              0.0007196,              0.0007196
                    196,                 1.3293,                0.89152,                 1.4074,                0.99042,                0.64286,                0.72205,                0.33999,                 1.6813,                0.97638,                 1.5584,               0.000713,               0.000713,               0.000713
                    197,                 1.3075,                0.89418,                 1.4361,                      1,                0.70705,                0.76838,                0.36398,                 1.6886,                0.97288,                 1.5424,              0.0007064,              0.0007064,              0.0007064
                    198,                 1.3259,                0.90617,                  1.407,                      1,                0.70497,                 0.7194,                0.34756,                  1.693,                  0.931,                 1.5615,              0.0006998,              0.0006998,              0.0006998
                    199,                 1.3155,                0.92808,                 1.3635,                0.90687,                0.69683,                0.70143,                0.35157,                 1.6683,                0.89292,                 1.5264,              0.0006932,              0.0006932,              0.0006932
                    200,                 1.2828,                0.91316,                 1.3941,                 0.9058,                0.68847,                0.70232,                0.35233,                 1.6494,                0.92607,                 1.5289,              0.0006866,              0.0006866,              0.0006866
                    201,                 1.3888,                0.95447,                 1.4185,                0.82954,                0.69639,                0.69632,                0.37311,                 1.6935,                0.93223,                 1.5585,                0.00068,                0.00068,                0.00068
                    202,                 1.4526,                0.93627,                 1.5575,                0.95235,                0.64286,                 0.7111,                0.37625,                 1.7043,                0.97008,                 1.5808,              0.0006734,              0.0006734,              0.0006734
                    203,                 1.4095,                 0.9467,                 1.4256,                      1,                0.61869,                0.70351,                0.33688,                 1.7388,                 1.0271,                 1.5491,              0.0006668,              0.0006668,              0.0006668
                    204,                 1.2814,                0.90265,                 1.3222,                0.94792,                0.64286,                0.70751,                0.36118,                 1.6951,                 1.0097,                 1.5256,              0.0006602,              0.0006602,              0.0006602
                    205,                 1.4355,                0.93273,                 1.4325,                0.94458,                0.64286,                0.68442,                0.41448,                   1.59,                0.87608,                 1.4635,              0.0006536,              0.0006536,              0.0006536
                    206,                 1.4041,                0.95486,                 1.4531,                0.96576,                0.64286,                0.70985,                0.40154,                 1.5322,                 0.8492,                 1.4526,               0.000647,               0.000647,               0.000647
                    207,                 1.3098,                0.88939,                 1.3236,                0.90807,                0.70625,                0.70706,                0.36031,                 1.6216,                0.94231,                 1.5384,              0.0006404,              0.0006404,              0.0006404
                    208,                 1.3236,                0.88024,                 1.3967,                0.90562,                0.71429,                0.71316,                 0.3195,                 1.7141,                 1.0053,                 1.5878,              0.0006338,              0.0006338,              0.0006338
                    209,                 1.3943,                 0.9361,                 1.4344,                      1,                0.69209,                0.75292,                0.32973,                 1.6899,                0.93912,                 1.5499,              0.0006272,              0.0006272,              0.0006272
                    210,                 1.3401,                 0.9387,                 1.3361,                0.99916,                0.71429,                0.75694,                0.36032,                 1.6803,                0.89469,                 1.5105,              0.0006206,              0.0006206,              0.0006206
                    211,                 1.2709,                0.91919,                 1.3077,                0.87391,                0.64286,                0.67402,                0.38633,                 1.5868,                0.88905,                 1.4824,               0.000614,               0.000614,               0.000614
                    212,                  1.286,                0.87175,                 1.2993,                0.97123,                0.64286,                0.69386,                0.37096,                 1.5893,                0.88601,                 1.4881,              0.0006074,              0.0006074,              0.0006074
                    213,                 1.3405,                0.91653,                 1.3985,                      1,                0.70821,                0.72268,                0.37912,                 1.6907,                 0.8716,                  1.538,              0.0006008,              0.0006008,              0.0006008
                    214,                  1.266,                0.88257,                 1.3578,                      1,                0.70468,                0.72356,                0.39185,                 1.7181,                0.84412,                 1.5447,              0.0005942,              0.0005942,              0.0005942
                    215,                 1.3622,                0.90976,                 1.3663,                0.97102,                0.64286,                0.69728,                0.38582,                 1.6588,                0.83991,                 1.4899,              0.0005876,              0.0005876,              0.0005876
                    216,                 1.2564,                0.85431,                  1.306,                0.97808,                0.64286,                0.69985,                  0.398,                 1.6188,                0.80326,                 1.4619,               0.000581,               0.000581,               0.000581
                    217,                 1.4309,                 0.9461,                 1.4368,                0.97058,                0.64286,                0.68858,                0.39604,                 1.6197,                0.88225,                 1.4923,              0.0005744,              0.0005744,              0.0005744
                    218,                 1.2935,                0.89712,                 1.3716,                0.96342,                0.64286,                0.68177,                0.39664,                 1.6128,                0.95084,                 1.4802,              0.0005678,              0.0005678,              0.0005678
                    219,                 1.2813,                0.88878,                 1.3477,                0.97013,                0.64286,                0.67397,                0.37259,                 1.6054,                 0.9292,                 1.4344,              0.0005612,              0.0005612,              0.0005612
                    220,                 1.2719,                0.86462,                 1.3379,                0.97457,                0.64286,                0.68163,                0.36942,                 1.6114,                0.89018,                 1.4285,              0.0005546,              0.0005546,              0.0005546
                    221,                 1.3053,                0.89247,                 1.3758,                 0.9797,                0.64286,                0.65896,                0.37745,                 1.6026,                0.80396,                 1.4659,               0.000548,               0.000548,               0.000548
                    222,                 1.1686,                0.92767,                 1.1853,                0.99239,                0.64286,                0.68786,                0.38211,                 1.6095,                0.78698,                 1.4947,              0.0005414,              0.0005414,              0.0005414
                    223,                 1.2908,                0.84678,                 1.3343,                0.98267,                0.64286,                0.69051,                0.38966,                 1.6616,                0.78647,                 1.5466,              0.0005348,              0.0005348,              0.0005348
                    224,                 1.2038,                0.84218,                  1.382,                0.88086,                0.64286,                 0.6581,                0.34158,                 1.7597,                0.81761,                 1.5719,              0.0005282,              0.0005282,              0.0005282
                    225,                 1.3148,                0.92446,                 1.3633,                      1,                0.70016,                0.72841,                0.31475,                 1.8218,                0.86951,                 1.5572,              0.0005216,              0.0005216,              0.0005216
                    226,                 1.3859,                0.85254,                 1.3779,                      1,                0.70203,                0.72841,                0.32115,                 1.7733,                0.85113,                 1.5333,               0.000515,               0.000515,               0.000515
                    227,                 1.2256,                0.88014,                 1.3218,                 0.9783,                0.64286,                0.69764,                0.37382,                 1.6302,                 0.8092,                 1.4852,              0.0005084,              0.0005084,              0.0005084
                    228,                 1.2534,                0.85563,                  1.263,                      1,                0.69969,                0.72715,                0.37828,                 1.6446,                0.78422,                 1.5018,              0.0005018,              0.0005018,              0.0005018
                    229,                 1.1811,                0.77774,                 1.2756,                0.83152,                0.71429,                 0.7211,                0.35146,                 1.7491,                0.85778,                 1.5386,              0.0004952,              0.0004952,              0.0004952
                    230,                 1.2197,                0.79527,                  1.309,                0.87964,                0.71429,                0.72078,                 0.3308,                 1.7527,                 0.8644,                 1.5269,              0.0004886,              0.0004886,              0.0004886
                    231,                 1.2589,                0.81197,                 1.2919,                0.90147,                0.71429,                0.72155,                0.34362,                 1.7436,                 0.8193,                 1.5003,               0.000482,               0.000482,               0.000482
                    232,                 1.2249,                0.82419,                  1.372,                0.90798,                0.70559,                0.72243,                0.35473,                 1.7593,                 0.8294,                 1.5069,              0.0004754,              0.0004754,              0.0004754
                    233,                 1.2809,                0.92978,                 1.2986,                0.98089,                0.64286,                0.66072,                0.37911,                 1.7394,                0.84068,                 1.5049,              0.0004688,              0.0004688,              0.0004688
                    234,                 1.2291,                0.83624,                 1.3373,                0.98639,                0.64286,                0.66072,                0.36149,                  1.731,                0.85008,                 1.4979,              0.0004622,              0.0004622,              0.0004622
                    235,                 1.2147,                0.88224,                 1.2931,                 0.8995,                0.71429,                0.72038,                0.37536,                 1.7549,                0.82014,                 1.5272,              0.0004556,              0.0004556,              0.0004556
                    236,                 1.2904,                0.87152,                 1.3036,                0.89388,                0.71429,                 0.7185,                0.35235,                 1.8107,                0.80401,                 1.5409,               0.000449,               0.000449,               0.000449
                    237,                  1.105,                 0.7975,                 1.2252,                0.98253,                0.64286,                0.70214,                0.34953,                  1.832,                0.83729,                 1.5514,              0.0004424,              0.0004424,              0.0004424
                    238,                 1.1852,                0.84963,                 1.2712,                0.98325,                0.64286,                0.70143,                0.36058,                 1.7785,                0.81164,                  1.533,              0.0004358,              0.0004358,              0.0004358
                    239,                 1.1887,                0.79983,                 1.3045,                0.98592,                0.64286,                 0.6517,                0.35123,                  1.747,                0.83237,                 1.5543,              0.0004292,              0.0004292,              0.0004292
                    240,                 1.2283,                0.85458,                 1.3013,                0.88725,                0.64286,                0.64586,                0.35607,                 1.7413,                0.81504,                 1.5522,              0.0004226,              0.0004226,              0.0004226
                    241,                 1.1074,                0.74775,                 1.2288,                0.88692,                0.64286,                0.64682,                0.35196,                 1.7474,                0.83302,                 1.5298,               0.000416,               0.000416,               0.000416
                    242,                 1.2594,                 0.8264,                 1.3278,                0.88832,                0.64286,                0.64728,                0.33096,                   1.81,                 0.8566,                 1.5424,              0.0004094,              0.0004094,              0.0004094
                    243,                 1.2034,                0.86302,                 1.3291,                0.99483,                0.64286,                 0.6942,                0.33037,                 1.8521,                0.88064,                  1.517,              0.0004028,              0.0004028,              0.0004028
                    244,                 1.1872,                0.79418,                  1.307,                0.99357,                0.64286,                0.69736,                0.34767,                 1.7731,                0.82495,                 1.4992,              0.0003962,              0.0003962,              0.0003962
                    245,                  1.149,                0.74671,                 1.3156,                0.99123,                0.64286,                0.65659,                0.38835,                 1.6909,                0.75565,                 1.4584,              0.0003896,              0.0003896,              0.0003896
                    246,                 1.1372,                0.77418,                 1.2948,                0.99009,                0.64286,                0.65667,                0.38197,                 1.6735,                0.76875,                 1.4458,               0.000383,               0.000383,               0.000383
                    247,                 1.2295,                0.81114,                 1.2922,                0.98988,                0.64286,                0.67467,                0.33829,                 1.7929,                0.84879,                 1.5137,              0.0003764,              0.0003764,              0.0003764
                    248,                 1.2246,                0.83663,                 1.3193,                 0.9906,                0.64286,                0.69633,                0.33306,                 1.8058,                0.88855,                 1.5389,              0.0003698,              0.0003698,              0.0003698
                    249,                 1.3254,                0.84475,                 1.3369,                      1,                0.63867,                0.69517,                0.33228,                 1.7997,                0.84704,                 1.5541,              0.0003632,              0.0003632,              0.0003632
                    250,                 1.1479,                0.85784,                 1.3115,                      1,                0.63309,                0.67372,                0.34121,                 1.7989,                0.86069,                 1.5576,              0.0003566,              0.0003566,              0.0003566
                    251,                 1.1907,                0.81718,                 1.3284,                      1,                0.64245,                0.69935,                0.35132,                 1.8128,                0.81253,                 1.5676,                0.00035,                0.00035,                0.00035
                    252,                 1.1757,                0.82455,                 1.3769,                      1,                0.64187,                0.69875,                0.34478,                 1.8377,                0.79916,                 1.5819,              0.0003434,              0.0003434,              0.0003434
                    253,                 1.1738,                0.75854,                 1.2557,                0.98448,                0.64286,                0.70651,                0.34085,                 1.8884,                0.79811,                  1.598,              0.0003368,              0.0003368,              0.0003368
                    254,                 1.3074,                0.83475,                 1.3691,                0.98578,                0.64286,                0.70697,                0.33467,                 1.9128,                0.80149,                  1.608,              0.0003302,              0.0003302,              0.0003302
                    255,                 1.2738,                0.83481,                 1.3876,                0.99645,                0.64286,                 0.7056,                0.33818,                 1.8415,                0.82245,                 1.6041,              0.0003236,              0.0003236,              0.0003236
                    256,                 1.1609,                0.78142,                 1.2754,                0.99691,                0.64286,                0.70746,                0.34202,                 1.7779,                0.81167,                 1.5593,               0.000317,               0.000317,               0.000317
                    257,                 1.2033,                0.81639,                 1.3981,                0.98564,                0.64286,                0.70377,                0.34495,                 1.7056,                 0.8092,                 1.5001,              0.0003104,              0.0003104,              0.0003104
                    258,                 1.2425,                 0.8037,                 1.3619,                0.98563,                0.64286,                0.70298,                0.38453,                 1.6615,                0.83863,                 1.4723,              0.0003038,              0.0003038,              0.0003038
                    259,                 1.1568,                0.78399,                 1.2677,                 0.9845,                0.64286,                0.69993,                0.38249,                 1.6001,                0.83168,                 1.4524,              0.0002972,              0.0002972,              0.0002972
                    260,                 1.1384,                0.75004,                 1.2659,                0.98466,                0.64286,                0.69884,                0.39349,                 1.6162,                0.81199,                 1.4488,              0.0002906,              0.0002906,              0.0002906
                    261,                 1.1735,                0.79168,                 1.3401,                0.98321,                0.64286,                0.69892,                0.36612,                 1.7201,                 0.8407,                 1.5145,               0.000284,               0.000284,               0.000284
                    262,                 1.2047,                0.80305,                 1.2319,                0.98937,                0.64286,                0.69678,                0.34115,                 1.7646,                0.82541,                 1.5294,              0.0002774,              0.0002774,              0.0002774
                    263,                 1.3171,                0.84245,                 1.4015,                      1,                0.63688,                 0.6981,                0.35335,                 1.7527,                0.80343,                 1.5255,              0.0002708,              0.0002708,              0.0002708
                    264,                  1.212,                0.80933,                  1.329,                      1,                0.63522,                0.69928,                0.35702,                  1.759,                0.78208,                 1.5234,              0.0002642,              0.0002642,              0.0002642
                    265,                 1.2735,                0.86632,                 1.3558,                0.99948,                0.64286,                0.70066,                0.35768,                 1.7547,                0.75916,                 1.5097,              0.0002576,              0.0002576,              0.0002576
                    266,                 1.1602,                0.79547,                 1.2803,                0.99547,                0.64286,                0.69736,                0.34554,                 1.7584,                0.76271,                 1.5159,               0.000251,               0.000251,               0.000251
                    267,                 1.1752,                0.74639,                 1.1906,                0.99371,                0.64286,                0.69835,                0.37428,                 1.7761,                0.81221,                 1.5176,              0.0002444,              0.0002444,              0.0002444
                    268,                 1.2072,                0.79853,                 1.2669,                0.99623,                0.64286,                0.69994,                 0.3741,                 1.7786,                0.81562,                 1.5003,              0.0002378,              0.0002378,              0.0002378
                    269,                 1.2961,                0.84746,                 1.3969,                0.99937,                0.64286,                0.69583,                0.36086,                 1.7963,                0.79722,                 1.5216,              0.0002312,              0.0002312,              0.0002312
                    270,                 1.1647,                0.75061,                  1.305,                      1,                0.64156,                0.69686,                0.35114,                  1.835,                0.82206,                 1.5413,              0.0002246,              0.0002246,              0.0002246
                    271,                 1.1423,                0.72771,                 1.3003,                      1,                0.64002,                0.69952,                0.34025,                 1.8868,                0.84125,                 1.5712,               0.000218,               0.000218,               0.000218
                    272,                 1.2038,                0.76818,                 1.3103,                0.99606,                0.64286,                0.69912,                0.35247,                 1.8787,                0.81985,                 1.5721,              0.0002114,              0.0002114,              0.0002114
                    273,                 1.2831,                0.79057,                 1.3981,                0.99342,                0.64286,                 0.6981,                 0.3456,                 1.8351,                0.84096,                  1.551,              0.0002048,              0.0002048,              0.0002048
                    274,                 1.2163,                0.80506,                 1.3547,                      1,                0.70078,                0.72417,                0.35013,                 1.8607,                0.82156,                 1.5548,              0.0001982,              0.0001982,              0.0001982
                    275,                 1.1636,                0.75924,                  1.336,                      1,                0.70517,                0.72383,                0.36611,                 1.8072,                0.77016,                 1.5147,              0.0001916,              0.0001916,              0.0001916
                    276,                 1.2559,                0.79375,                 1.3252,                      1,                 0.7053,                0.72405,                0.38094,                 1.7548,                0.77445,                 1.4827,               0.000185,               0.000185,               0.000185
                    277,                 1.1983,                 0.8022,                 1.3363,                      1,                0.70985,                0.72494,                  0.386,                 1.6806,                0.77497,                 1.4444,              0.0001784,              0.0001784,              0.0001784
                    278,                 1.1502,                0.76266,                 1.2348,                 0.8847,                0.71429,                0.71857,                0.39583,                 1.6639,                0.75498,                 1.4268,              0.0001718,              0.0001718,              0.0001718
                    279,                 1.2022,                0.75601,                 1.3357,                0.89392,                0.71429,                0.71221,                 0.3843,                 1.6571,                0.76921,                 1.4286,              0.0001652,              0.0001652,              0.0001652
