                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.4693,                 3.1066,                 2.2815,                0.60363,                0.35714,                0.32246,                0.13787,                 2.4272,                 2.1737,                 2.2838,              0.0017756,              0.0017756,              0.0017756
                     36,                  2.332,                 3.1389,                 2.2792,                0.55724,                0.42857,                0.36723,                0.19178,                 2.3722,                 2.0008,                 2.2318,               0.001769,               0.001769,               0.001769
                     37,                 2.2891,                  2.652,                 2.1621,                0.85705,                0.42831,                0.42397,                0.17462,                 2.5172,                 2.0342,                 2.1561,              0.0017624,              0.0017624,              0.0017624
                     38,                 2.1975,                 2.6889,                 2.0737,                0.84448,                0.35714,                0.42631,                0.16446,                 2.4285,                 2.2823,                 2.1491,              0.0017558,              0.0017558,              0.0017558
                     39,                 2.2592,                 2.7393,                  2.164,                0.82427,                0.35714,                0.36018,                0.16904,                 2.0709,                 2.0939,                  2.068,              0.0017492,              0.0017492,              0.0017492
                     40,                 2.1615,                 2.5494,                 2.0566,                  0.607,                0.35714,                0.31625,                0.11115,                  2.206,                 2.2911,                 2.1201,              0.0017426,              0.0017426,              0.0017426
                     41,                 2.1278,                 2.4604,                 2.0467,                0.70902,                0.42857,                 0.4315,                0.19299,                 2.1913,                 1.7455,                 2.2232,               0.001736,               0.001736,               0.001736
                     42,                  2.179,                 2.5118,                 2.1829,                0.77629,                0.35714,                0.38541,                0.14117,                 2.3079,                 1.8787,                 2.1792,              0.0017294,              0.0017294,              0.0017294
                     43,                 2.1589,                 2.5087,                 2.1052,                0.74681,                 0.4222,                0.42504,                0.15525,                  2.291,                 1.8487,                 1.9804,              0.0017228,              0.0017228,              0.0017228
                     44,                  2.158,                 2.5196,                 1.9859,                      1,                0.41118,                0.43799,                 0.1709,                 2.2674,                 1.6998,                 1.9692,              0.0017162,              0.0017162,              0.0017162
                     45,                 2.1323,                 2.2697,                 2.0401,                0.96752,                0.35714,                0.40869,                0.18573,                 2.0507,                 1.6192,                 1.8969,              0.0017096,              0.0017096,              0.0017096
                     46,                 2.0902,                 2.0475,                 1.9469,                0.72296,                0.42857,                0.44254,                 0.2206,                 2.0808,                 1.4975,                 1.9377,               0.001703,               0.001703,               0.001703
                     47,                 2.1555,                 2.3498,                 2.1565,                0.63816,                0.42857,                0.40704,                0.18501,                 2.0803,                 1.4639,                  2.032,              0.0016964,              0.0016964,              0.0016964
                     48,                 2.0382,                  2.196,                   1.95,                0.63325,                0.42857,                0.37456,                0.22424,                 2.1031,                 1.5368,                 2.0223,              0.0016898,              0.0016898,              0.0016898
                     49,                 2.1988,                 2.2349,                 2.0594,                0.79558,                0.42857,                0.44246,                0.24218,                 1.9207,                 1.5702,                 1.8875,              0.0016832,              0.0016832,              0.0016832
                     50,                 2.1363,                 2.1842,                 1.9562,                0.94757,                0.35714,                0.44934,                0.21156,                 2.1056,                 1.5226,                 2.0049,              0.0016766,              0.0016766,              0.0016766
                     51,                 2.1191,                 2.1292,                 1.9932,                0.90199,                0.42857,                0.46771,                0.23845,                 1.9184,                  1.405,                 1.9934,                0.00167,                0.00167,                0.00167
                     52,                 2.1056,                 2.1076,                 2.0123,                0.78592,                0.42857,                0.46486,                0.23196,                 2.1218,                 1.4742,                 2.0492,              0.0016634,              0.0016634,              0.0016634
                     53,                 1.9567,                 2.0539,                 2.0369,                0.57614,                0.48643,                  0.436,                0.19212,                 1.9937,                 1.4176,                 1.8406,              0.0016568,              0.0016568,              0.0016568
                     54,                 2.1124,                  2.112,                 2.0669,                0.70599,                0.35714,                0.36031,                0.17553,                  1.967,                 1.4508,                 1.8782,              0.0016502,              0.0016502,              0.0016502
                     55,                 2.0811,                  2.184,                 1.8807,                0.88959,                0.35714,                0.42896,                0.20532,                  1.935,                  1.426,                 1.8007,              0.0016436,              0.0016436,              0.0016436
                     56,                 2.0134,                  1.972,                  1.931,                0.83672,                0.42857,                0.48432,                0.23815,                 1.9432,                 1.3461,                 1.8586,               0.001637,               0.001637,               0.001637
                     57,                 1.7937,                 1.8235,                 1.7246,                      1,                0.42433,                0.45588,                0.22506,                  2.039,                 1.4203,                  1.885,              0.0016304,              0.0016304,              0.0016304
                     58,                  2.004,                 1.9014,                 1.9534,                0.96375,                0.35714,                0.43223,                0.22538,                 2.0055,                 1.4804,                 1.8792,              0.0016238,              0.0016238,              0.0016238
                     59,                 1.9034,                 1.8069,                 1.8862,                0.72658,                0.42857,                0.45725,                0.21346,                 1.9879,                 1.4284,                 1.8356,              0.0016172,              0.0016172,              0.0016172
                     60,                 1.9608,                 1.8829,                 1.9585,                0.79895,                0.42857,                0.45606,                0.25603,                 1.8824,                 1.3703,                 1.7663,              0.0016106,              0.0016106,              0.0016106
